_id;Caráter PBOM;Serviço PBOM;UF PBOM;Município PBOM;Município-UF;Frequência PBOM;Medida da Freq. PBOM;Classe PBOM;Latitude Decimal PBOM;Longitude Decimal PBOM;Latitude GMS PBOM;Longitude GMS PBOM;Latitude Decimal;Longitude Decimal;ERP PBOM;Altura da Torre PBOM;Categoria da Estação PBOM
57dbac7791eb3;Primário;OM;SP;Jacareí;Jacareí - SP;1470;KHz;B;-23.2975;-45.99389;23S17 51;45W59 38;-23.2975;-45.99389;;51;Principal
57dbac7795ab3;Primário;OM;SP;Jacupiranga;Jacupiranga - SP;1580;KHz;C;-24.683333333333;-48;24S40 60;48W00 00;-24.683333333333;-48;;55;
57dbac779caa7;Primário;OM;SP;Jales;Jales - SP;1020;KHz;B;-20.25;-50.543333333333;20S15 00;50W32 36;-20.25;-50.543333333333;;73;
57dbac77a09fa;Primário;OM;SP;Jardinópolis;Jardinópolis - SP;1050;KHz;B;-21.058166666667;-47.820138888889;21S03 29;47W49 13;-21.058166666667;-47.820138888889;;91;
57dbac77a4c21;Primário;OM;SP;Jaú;Jaú - SP;820;KHz;C;-22.303055555556;-48.547777777778;22S18 11;48W32 52;-22.303055555556;-48.547777777778;;73;
57dbac77a8ccc;Primário;OM;SP;Jaú;Jaú - SP;1070;KHz;C;-22.26772;-48.53619;22S16 04;48W32 10;-22.26772;-48.53619;;74;Principal
57dbac77ad0ff;Primário;OM;SP;Jaú;Jaú - SP;1490;KHz;C;-22.283333333333;-48.55;22S16 60;48W32 60;-22.283333333333;-48.55;;55;
57dbac77af854;Primário;OM;SP;José Bonifácio;José Bonifácio - SP;1240;KHz;B;-21.045;-49.660833333333;21S02 42;49W39 39;-21.045;-49.660833333333;;55;
57dbac77b4012;Primário;OM;SP;Jundiaí;Jundiaí - SP;730;KHz;B;-23.16917;-46.9325;23S10 09;46W55 57;-23.16917;-46.9325;;76;Principal
57dbac77b816a;Primário;OM;SP;Jundiaí;Jundiaí - SP;810;KHz;B;-23.148055555556;-46.838055555556;23S08 53;46W50 17;-23.148055555556;-46.838055555556;;74;
57dbac77bc9a0;Primário;OM;SP;Junqueirópolis;Junqueirópolis - SP;1570;KHz;C;-21.51361;-51.44361;21S30 49;51W26 37;-21.51361;-51.44361;;48;
57dbac77c0708;Primário;OM;SP;Leme;Leme - SP;1540;KHz;C;-22.181666666667;-47.368611111111;22S10 54;47W22 07;-22.181666666667;-47.368611111111;;55;
57dbac77c4687;Primário;OM;SP;Lençóis Paulista;Lençóis Paulista - SP;1010;KHz;B;-22.597694444444;-48.81225;22S35 52;48W48 44;-22.597694444444;-48.81225;;73;
57dbac77c862e;Primário;OM;SP;Limeira;Limeira - SP;770;KHz;B;-22.628611111111;-47.425;22S37 43;47W25 30;-22.628611111111;-47.425;;117;
57dbac77ccd9f;Primário;OM;SP;Limeira;Limeira - SP;1020;KHz;B;-22.560833333333;-47.418888888889;22S33 39;47W25 08;-22.560833333333;-47.418888888889;;63;
57dbac77d158a;Primário;OM;SP;Lins;Lins - SP;1030;KHz;C;-21.661111111111;-49.765833333333;21S39 40;49W45 57;-21.661111111111;-49.765833333333;;63;
57dbac77d53d6;Primário;OM;SP;Lins;Lins - SP;1080;KHz;C;-21.673611111111;-49.756388888889;21S40 25;49W45 23;-21.673611111111;-49.756388888889;;55;
57dbac77d8fdd;Primário;OM;SP;Lorena;Lorena - SP;1460;KHz;C;-22.736333333333;-45.091972222222;22S44 11;45W05 31;-22.736333333333;-45.091972222222;;51;
57dbac77dcfd4;Primário;OM;SP;Lucélia;Lucélia - SP;1400;KHz;C;-21.718611111111;-51.009166666667;21S43 07;51W00 33;-21.718611111111;-51.009166666667;;54;
57dbac77e0a59;Primário;OM;SP;Macatuba;Macatuba - SP;1530;KHz;C;-22.5;-48.716666666667;22S30 00;48W43 00;-22.5;-48.716666666667;;55;
57dbac77e30f7;Primário;OM;SP;Marília;Marília - SP;730;KHz;B;-22.226388888889;-49.878333333333;22S13 35;49W52 42;-22.226388888889;-49.878333333333;;102;
57dbac77e732f;Primário;OM;SP;Marília;Marília - SP;1090;KHz;B;-22.22889;-49.92889;22S13 44;49W55 44;-22.22889;-49.92889;;72;Principal
57dbac77eb938;Primário;OM;SP;Martinópolis;Martinópolis - SP;1010;KHz;B;-22.135;-51.22167;22S08 06;51W13 18;-22.135;-51.22167;;90;Principal
57dbac78011ea;Primário;OM;SP;Mauá;Mauá - SP;1490;KHz;B;-23.633758333333;-46.498552777778;23S38 02;46W29 55;-23.633758333333;-46.498552777778;;65;
57dbac7805e96;Primário;OM;SP;Miguelópolis;Miguelópolis - SP;1500;KHz;C;-20.180555555556;-48.022222222222;20S10 50;48W01 20;-20.180555555556;-48.022222222222;;50;
57dbac7809dd9;Primário;OM;SP;Mirandópolis;Mirandópolis - SP;590;KHz;C;-21.175;-51.061111111111;21S10 30;51W03 40;-21.175;-51.061111111111;;120;
57dbac780dce5;Primário;OM;SP;Mirassol;Mirassol - SP;630;KHz;C;-20.836388888889;-49.479722222222;20S50 11;49W28 47;-20.836388888889;-49.479722222222;;75;
57dbac78166b9;Primário;OM;SP;Mogi Guaçu;Mogi Guaçu - SP;1380;KHz;C;-22.369166666667;-46.950555555556;22S22 09;46W57 02;-22.369166666667;-46.950555555556;;62;Principal
57dbac781a6b5;Primário;OM;SP;Mogi das Cruzes;Mogi das Cruzes - SP;1070;KHz;B;-23.5325;-46.223888888889;23S31 57;46W13 26;-23.5325;-46.223888888889;;56;
57dbac781e735;Primário;OM;SP;Mogi das Cruzes;Mogi das Cruzes - SP;1520;KHz;B;-23.5125;-46.1975;23S30 45;46W11 51;-23.5125;-46.1975;;67;Principal
57dbac7822d5d;Primário;OM;SP;Mogi Mirim;Mogi Mirim - SP;610;KHz;C;-22.459972222222;-46.976555555555;22S27 36;46W58 36;-22.459972222222;-46.976555555555;;85;Principal
57dbac7826be4;Primário;OM;SP;Mogi Mirim;Mogi Mirim - SP;1110;KHz;C;-22.45997;-46.97656;22S27 36;46W58 36;-22.45997;-46.97656;;85;Principal
57dbac782b347;Primário;OM;SP;Monte Alto;Monte Alto - SP;1090;KHz;B;-21.260472222222;-48.478472222222;21S15 38;48W28 42;-21.260472222222;-48.478472222222;;59;
57dbac782f301;Primário;OM;SP;Monte Aprazível;Monte Aprazível - SP;780;KHz;C;-20.726944444444;-49.704444444444;20S43 37;49W42 16;-20.726944444444;-49.704444444444;;79;
57dbac7833bd0;Primário;OM;SP;Monte Azul Paulista;Monte Azul Paulista - SP;910;KHz;C;-20.906944444444;-48.646666666667;20S54 25;48W38 48;-20.906944444444;-48.646666666667;;91;
57dbac783762c;Primário;OM;SP;Monte Mor;Monte Mor - SP;1340;KHz;C;-22.946666666667;-47.315833333333;22S56 48;47W18 57;-22.946666666667;-47.315833333333;;60;
57dbac7839de9;Primário;OM;SP;Morro Agudo;Morro Agudo - SP;1380;KHz;C;-20.733333333333;-48.066666666667;20S43 60;48W04 00;-20.733333333333;-48.066666666667;;56;
57dbac783dba6;Primário;OM;SP;Nhandeara;Nhandeara - SP;570;KHz;C;-20.689166666667;-50.050555555556;20S41 21;50W03 02;-20.689166666667;-50.050555555556;;105;
57dbac7841ed0;Primário;OM;SP;Nova Europa;Nova Europa - SP;1230;KHz;B;-21.778333333333;-48.560833333333;21S46 42;48W33 39;-21.778333333333;-48.560833333333;;62;
57dbac78446ac;Primário;OM;SP;Nova Odessa;Nova Odessa - SP;830;KHz;B;-22.818888888889;-47.328888888889;22S49 08;47W19 44;-22.818888888889;-47.328888888889;;96;
57dbac78487c0;Primário;OM;SP;Novo Horizonte;Novo Horizonte - SP;870;KHz;C;-21.476944444444;-49.203888888889;21S28 37;49W12 14;-21.476944444444;-49.203888888889;;65;
57dbac784c6f1;Primário;OM;SP;Olímpia;Olímpia - SP;720;KHz;C;-20.717777777778;-48.917222222222;20S43 04;48W55 02;-20.717777777778;-48.917222222222;;95;
57dbac78504e8;Primário;OM;SP;Olímpia;Olímpia - SP;1490;KHz;C;-20.725277777778;-48.898333333333;20S43 31;48W53 54;-20.725277777778;-48.898333333333;;48;
57dbac7854287;Primário;OM;SP;Orlândia;Orlândia - SP;1240;KHz;B;-20.742777777778;-47.870277777778;20S44 34;47W52 13;-20.742777777778;-47.870277777778;;57;
57dbac78581c6;Primário;OM;SP;Osasco;Osasco - SP;1330;KHz;B;-23.514166666667;-46.7725;23S30 51;46W46 21;-23.514166666667;-46.7725;;50;Principal
57dbac785cd6b;Primário;OM;SP;Osasco;Osasco - SP;1540;KHz;B;-23.519444444444;-46.791666666667;23S31 10;46W47 30;-23.519444444444;-46.791666666667;;51;
57dbac78614c3;Primário;OM;SP;Osvaldo Cruz;Osvaldo Cruz - SP;750;KHz;C;-21.783333333333;-50.866666666667;21S46 60;50W52 00;-21.783333333333;-50.866666666667;;76;
57dbac7865368;Primário;OM;SP;Ourinhos;Ourinhos - SP;720;KHz;C;-22.963055555556;-49.855833333333;22S57 47;49W51 21;-22.963055555556;-49.855833333333;;71;
